sample,n_reads
GWP_17P_S127_L007_R1_001,8620342
GWP_20P_S144_L007_R1_001,10347483
GWP_3P_S125_L007_R1_001,10125699
GWP_10P_S140_L007_R1_001,12438460
GWP_34P_S149_L007_R1_001,6889265
GWP_5P_S130_L007_R1_001,8813025
GWP_2P_S124_L007_R1_001,8825858
GWP_36P_S151_L007_R1_001,10832250
GWP_15P_S148_L007_R1_001,10174589
GWP_6P_S131_L007_R1_001,9058609
GWP_25P_S132_L007_R1_001,8994453
GWP_11P_S141_L007_R1_001,0
GWP_18P_S128_L007_R1_001,8993410
GWP_35P_S150_L007_R1_001,9497731
GWP_19P_S143_L007_R1_001,9954573
GWP_27P_S133_L007_R1_001,7556281
GWP26_S46_L001_R1_001,8466926
GWP_4P_S129_L007_R1_001,8033277
GWP_1P_S123_L007_R1_001,11058875
GWP_14P_S147_L007_R1_001,8357489
GWP_21P_S145_L007_R1_001,7859612
GWP_12P_S142_L007_R1_001,8729883
GWP_16P_S126_L007_R1_001,8356048
GWP_13P_S146_L007_R1_001,12075226
